Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,25,9.8
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,100,10.9
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,200,12.5
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,300,13.9
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,400,15.3
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,600,18.3
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,700,19.8
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,800,21.5
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,900,23.4
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,1000,25.6
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,200,16.1
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,430,19.5
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,540,21.2
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,650,23
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,760,24.7
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,870,26.4
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,25,11.1
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,100,13.1
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,200,15.4
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,300,17.3
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,400,19
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,500,20.8
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,600,22.4
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,700,24
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,800,25.5
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,900,27.2
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,1000,28.9
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,1100,30.4
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,25,10.3
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,100,12
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,200,14.1
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,300,16.3
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,400,18.5
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,500,20.5
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,600,22.6
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,700,24.8
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,800,26.1
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,900,27.3
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,1000,28.9
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,25,11.7
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,100,13
